Pavadinimas,Autorius,Publikavimo duomenys
Vaižganto asmuo ir kūryba: krikščionybės ir modernybės sąveika,"Vanagaitė, Gitana","Kaunas : Vytauto Didžiojo universitetas, 2023"
Vilna,"Cohen, Israel (1879–1961)","[Vilnius] : Hubris, [2023]"
Šalies konkurencingumas eksporto požiūriu: Lietuvos atvejo studija,"Petrylė, Vaiva","Vilnius : Vilniaus universiteto leidykla, 2023"
Vertinimo užduotys 4 metų amžiaus vaikams,"Mudėnienė, Viktorija","Vilnius : [V. Mudėnienė], 2023"
Apolonija,"Zeitler, Valentina","Vilnius : Žuvėdra, 2023"
Iš tolimo Krinčino,"Nudas, Virginijus Mykolas","Panevėžys : Reklamos forma, 2023"
Grožis ir Heizelis,"Grušaitė, Gabija","[Vilnius] : Lapas, [2023]"
Metų monotonija,"Skripkutė-Gutauskienė, Loreta","Vilnius : Rieduliai, 2023"
Itanas Fromas,"Wharton, Edith (1862–1937)","Vilnius : Svajonių knygos, 2023"
Akimirkom pražydęs laikas,"Ramelienė, Renata","[Vilnius] : [R. Ramelienė], 2023"
Du Czesławo Miłoszo miestai,"Baltėnas, Arūnas","[Vilnius] : Baltėno archyvai, [2023]"
Aplink pasaulį per 80 dienų,"Verne, Jules (1828–1905)","Vilnius : Alma littera, [2023]"
Audrų sezonas,"Sapkowski, Andrzej","[Vilnius] : Alma littera, [2023]"
Kūryba,"Kučinskienė, Eglė","Kaunas : Ridsales, 2023"
Vaiko nuomonės išklausymo metodinis vadovas,"Intė, Odeta","Vilnius : Mykolo Romerio universitetas, 2023"
Miglų slėnio fėjų burtai,"Lepšienė, Edita","[Nedėldaržis, Marijampolės sav.] : Aridėja, 2023"
Oliva Denaro,"Ardone, Viola","Vilnius : Alma littera, 2023"
"Serui Filipui, su meile","Quinn, Julia","Vilnius : Alma littera, 2023"
Vėl karas Europoje,"Mažylis, Liudas","Kaunas : Vytauto Didžiojo universitetas, 2023"
Kaip Kovno tapo Kaunu,"Balkus, Mindaugas","Kaunas : Vytauto Didžiojo universitetas, 2023"
Daugiau nei turtas,"Preston, Janice","Vilnius : Svajonių knygos, 2023"
Dūris,"Bogdanas, Ramūnas","Vilnius : „Baltų lankų“ leidyba, [2023]"
Ežio namai,"Vasiliauskaitė, Kristina",Natų leidinių duomenys:Partitūra
Vėjas vyšniose supas,"Jucienė, Elena","Kaunas : Ridsales, 2023"
Kūryba,"Jankauskienė, Jūratė","Kaunas : Ridsales, 2023"
Dvibalsiai,"Andrianova, Aldona","Šiauliai : Lucilijus, 2023"
Idant būtų aiškiau,"Katinas, Alvydas","Vilnius : Santara, 2023"
"Diana, Viljamas ir Haris","Patterson, James","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Dialogas,"Landsbergis, Vytautas","Vilnius : „Baltų lankų“ leidyba, [2023]"
Balandės sparnai,"James, Henry (1843–1916)","Kaunas : Jotema, [2023]"
"Tie, kuriuos myli","Hislop, Victoria","Kaunas : Jotema, [2023]"
Религиозно-философские мотивы и образы в поэзии Андрея Белого,"Литовченко, Наталия","Клайпеда : Klaipėdos universiteto leidykla, 2023"
Palinkėsiu Tau,"Mačiulskienė, Renalda","Kaunas : Ridsales, 2023"
